bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.41,0.27,0.2281,0.11420612813370473
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.51,0.27,0.2281,0.14206128133704737
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.01,0.27,0.2281,0.002785515320334262
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.67,0.2281,0.28690807799442897
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.29,0.67,0.2281,0.0807799442896936
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.67,0.2281,0.2924791086350975
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.32,0.67,0.2281,0.08913649025069638
UGR12,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.2281,0.0
UGR12,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.2281,0.0
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.33,0.2831,0.0
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.41,0.33,0.2831,0.11420612813370473
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.51,0.33,0.2831,0.14206128133704737
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.19,0.33,0.2831,0.05292479108635098
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.84,0.2831,0.28690807799442897
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.84,0.2831,0.24233983286908078
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.84,0.2831,0.2924791086350975
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.43,0.84,0.2831,0.11977715877437327
UGR13,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.2831,0.0
UGR13,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.2831,0.0
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.78,0.56,0.7206,0.21727019498607245
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.41,0.56,0.7206,0.11420612813370473
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.03,0.56,0.7206,0.28690807799442897
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.01,0.56,0.7206,0.002785515320334262
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.69,0.7206,0.28690807799442897
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.69,0.7206,0.1615598885793872
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.69,0.7206,0.2924791086350975
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.11,0.69,0.7206,0.030640668523676882
UGR14,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,2.22,1.73,0.7206,0.6183844011142062
UGR14,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.99,1.73,0.7206,0.2757660167130919
UGR15,Upper Grande Ronde,exact_identifier,Chinook,Spawning,2.36,1.35,0.6126,0.6573816155988857
UGR15,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1.25,1.35,0.6126,0.34818941504178275
UGR15,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.54,1.35,0.6126,0.42896935933147634
UGR15,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.8,1.35,0.6126,0.22284122562674097
UGR15,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.34,0.59,0.6126,0.09470752089136492
UGR15,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.59,0.6126,0.24233983286908078
UGR15,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.7,0.59,0.6126,0.19498607242339833
UGR15,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.44,0.59,0.6126,0.12256267409470753
UGR15,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.59,0.6126,0.0
UGR15,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1.48,0.59,0.6126,0.41225626740947074
UGR16,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.78,0.66,0.327,0.21727019498607245
UGR16,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.84,0.66,0.327,0.233983286908078
UGR16,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.03,0.66,0.327,0.28690807799442897
UGR16,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.03,0.66,0.327,0.008356545961002786
UGR16,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.7,0.327,0.28690807799442897
UGR16,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.7,0.327,0.1615598885793872
UGR16,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.7,0.327,0.2924791086350975
UGR16,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.13,0.7,0.327,0.036211699164345405
UGR16,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.327,0.0
UGR16,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.327,0.0
UGR17,Upper Grande Ronde,exact_identifier,Chinook,Spawning,2.36,1.28,0.6039,0.6573816155988857
UGR17,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1.25,1.28,0.6039,0.34818941504178275
